"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20210516","우이신설선","4.19민주묘지","1360","1286","20210519"
"20210516","경원선","가능","2948","2847","20210519"
"20210516","8호선","가락시장","2659","3356","20210519"
"20210516","3호선","가락시장","2956","3336","20210519"
"20210516","7호선","가산디지털단지","8391","7547","20210519"
"20210516","경부선","가산디지털단지","3380","4919","20210519"
"20210516","9호선","가양","7833","7913","20210519"
"20210516","우이신설선","가오리","1740","1723","20210519"
"20210516","경의선","가좌","2094","2274","20210519"
"20210516","분당선","가천대","3293","3950","20210519"
"20210516","경춘선","가평","1181","861","20210519"
"20210516","경인선","간석","2571","2444","20210519"
"20210516","경춘선","갈매","1086","937","20210519"
"20210516","2호선","강남","29519","27966","20210519"
"20210516","분당선","강남구청","2585","3108","20210519"
"20210516","7호선","강남구청","4551","4887","20210519"
"20210516","5호선","강동","7313","7418","20210519"
"20210516","8호선","강동구청","3562","3752","20210519"
"20210516","경의선","강매","1055","996","20210519"
"20210516","2호선","강변(동서울터미널)","17135","16583","20210519"
"20210516","5호선","강일","1176","1241","20210519"
"20210516","경춘선","강촌","330","227","20210519"
"20210516","5호선","개롱","2244","2553","20210519"
"20210516","경인선","개봉","9081","9281","20210519"
"20210516","분당선","개포동","1528","1556","20210519"
"20210516","9호선","개화","794","734","20210519"
"20210516","5호선","개화산","2096","2167","20210519"
"20210516","5호선","거여","2937","2930","20210519"
"20210516","2호선","건대입구","20516","21046","20210519"
"20210516","7호선","건대입구","6619","6910","20210519"
"20210516","공항철도 1호선","검암","2649","2697","20210519"
"20210516","경강선","경기광주","2786","2854","20210519"
"20210516","과천선","경마공원","644","637","20210519"
"20210516","3호선","경복궁(정부서울청사)","6878","6789","20210519"
"20210516","3호선","경찰병원","2214","2283","20210519"
"20210516","공항철도 1호선","계양","3571","3695","20210519"
"20210516","5호선","고덕","3449","3438","20210519"
"20210516","6호선","고려대(종암)","3397","3327","20210519"
"20210516","수인선","고색","1263","1285","20210519"
"20210516","7호선","고속터미널","10365","6643","20210519"
"20210516","9호선","고속터미널","7970","11277","20210519"
"20210516","3호선","고속터미널","34301","32132","20210519"
"20210516","안산선","고잔","3201","3129","20210519"
"20210516","경의선","곡산","224","207","20210519"
"20210516","경강선","곤지암","1103","1207","20210519"
"20210516","공항철도 1호선","공덕","1006","1317","20210519"
"20210516","경의선","공덕","1506","1154","20210519"
"20210516","5호선","공덕","3613","3786","20210519"
"20210516","6호선","공덕","5356","5037","20210519"
"20210516","7호선","공릉(서울과학기술대)","5220","5398","20210519"
"20210516","9호선","공항시장","1442","1595","20210519"
"20210516","공항철도 1호선","공항화물청사","850","945","20210519"
"20210516","과천선","과천","2219","2193","20210519"
"20210516","경부선","관악","3131","3047","20210519"
"20210516","5호선","광나루(장신대)","5123","4646","20210519"
"20210516","경부선","광명","2174","1441","20210519"
"20210516","7호선","광명사거리","9939","9692","20210519"
"20210516","경원선","광운대","3536","3588","20210519"
"20210516","5호선","광화문(세종문화회관)","7876","7929","20210519"
"20210516","6호선","광흥창(서강)","3376","3172","20210519"
"20210516","3호선","교대(법원.검찰청)","3526","2233","20210519"
"20210516","2호선","교대(법원.검찰청)","8785","9756","20210519"
"20210516","경부선","구로","7983","8016","20210519"
"20210516","2호선","구로디지털단지","18922","18550","20210519"
"20210516","분당선","구룡","506","592","20210519"
"20210516","중앙선","구리","5740","5962","20210519"
"20210516","9호선","구반포","1093","1208","20210519"
"20210516","6호선","구산","3026","2446","20210519"
"20210516","분당선","구성","1874","2013","20210519"
"20210516","2호선","구의(광진구청)","9055","9271","20210519"
"20210516","경인선","구일","3127","3172","20210519"
"20210516","3호선","구파발","8203","8289","20210519"
"20210516","중앙선","국수","355","314","20210519"
"20210516","9호선","국회의사당","3773","3439","20210519"
"20210516","5호선","군자(능동)","4717","5348","20210519"
"20210516","7호선","군자(능동)","6097","4988","20210519"
"20210516","경부선","군포","2343","2271","20210519"
"20210516","경춘선","굴봉산","90","66","20210519"
"20210516","7호선","굴포천","3746","3826","20210519"
"20210516","5호선","굽은다리(강동구민회관앞)","4337","4116","20210519"
"20210516","경춘선","금곡","633","596","20210519"
"20210516","경의선","금릉","2000","2005","20210519"
"20210516","경부선","금정","10428","10898","20210519"
"20210516","경부선","금천구청","4487","4670","20210519"
"20210516","경의선","금촌","3126","3362","20210519"
"20210516","3호선","금호","3362","3287","20210519"
"20210516","분당선","기흥","4059","3889","20210519"
"20210516","5호선","길동","3366","3509","20210519"
"20210516","4호선","길음","7873","7812","20210519"
"20210516","경춘선","김유정","209","204","20210519"
